SEM,Ordem Venda,Item,Ordem Produção,Hrs,Código Material,Descrição Material,Acab.,QTD,Total,Centro trabalho,Bloco,,QTD BL.,ESTADO,PRIORIDADE,Data solicitada
9,Make To Stock,0000/000,1600047807,11.67,70000/284,"PL CC 8405/000 770X568X0,8 NE",0,11 690,0,CNMLAMPL,70012034,BL CC 8405/000 770X568X250 NE,37.9,,2,02/03/2021
9,Make To Stock,0000/000,1600048550,1.19,70001/921,"PL CC 8004/000 770X568X0,8 NE",0,1 190,0,CNMLAMPL,70011481,BL CC 8004/000 770X568X250 NE,4,,,Até 04/03/2021
9,Make To Stock,0000/000,1600050181,6.34,70007/161,"RL CI 5080/000 1000X1,8 NE",0,6 062,4 290,CNMLAMMA,70006849,CL CI 5080 1067X950 NE,17.5,Em produção,,Até 04/03/2021
9,Make To Stock,0000/000,1600050282,11.3,70007/189,"RL CI 5080/000 1000X1,8-10M NE",0,1 080,396,CNMREBMA,70007161,"RL CI 5080/000 1000X1,8 NE",10909.1,Em produção,,Até 04/03/2021
9,3820008/439,0000/030,1600050624,0.75,70005/873,"PL CC 8004/000 940X640X3,0 NE",0,410,0,CNMLAMPL,70001620,BL CC 8004/000 940X640X250 NE,5.1,,,Até 04/03/2021
9,3820007/127,0000/080,1600050625,0.75,70005/873,"PL CC 8004/000 940X640X3,0 NE",0,410,0,CNMLAMPL,70001620,BL CC 8004/000 940X640X250 NE,5.1,,1,26/02/2021
9,3820007/127,0000/090,1600050630,1.11,70011/560,"PL CC 8004/000  940X640X6,0  NE",0,410,0,CNMLAMPL,70001620,BL CC 8004/000 940X640X250 NE,10.3,,1,26/02/2021
9,3820008/439,0000/040,1600050631,1.11,70011/560,"PL CC 8004/000  940X640X6,0  NE",0,410,0,CNMLAMPL,70001620,BL CC 8004/000 940X640X250 NE,10.3,,1,26/02/2021
9,3820007/127,0000/100,1600050636,2.88,70005/874,"PL CC 8004/000 940X640X10,0 NE",0,778,0,CNMLAMPL,70001620,BL CC 8004/000 940X640X250 NE,32.1,,1,26/02/2021
9,3820008/439,0000/050,1600050637,2.88,70005/874,"PL CC 8004/000 940X640X10,0 NE",0,778,0,CNMLAMPL,70001620,BL CC 8004/000 940X640X250 NE,32.1,,1,26/02/2021
9,3820001/045,0000/010,1600050641,0.67,70011/885,"PL CC 0086/S21 2000X900X8,0 NE",S21,50,0,CNMLAMLX,70005013,"PL CC 0086/000 2000X900X8,4 NE",56,,,Até 04/03/2021
