Máquina,Inicio,Fim,Turno
RETIFICADORA,15,180,1
RETIFICADORA,190,330,1
RETIFICADORA,360,480,2
RETIFICADORA,495,660,3
RETIFICADORA,670,810,4
RETIFICADORA,840,960,5
RETIFICADORA,975,1140,6
RETIFICADORA,1150,1290,7
RETIFICADORA,1320,1440,8
RETIFICADORA,1455,1620,9
RETIFICADORA,1630,1770,10
RETIFICADORA,1800,1920,11
RETIFICADORA,1935,2100,12
RETIFICADORA,2110,2250,13
RETIFICADORA,2280,2400,14
RETIFICADORA,2415,2580,15
RETIFICADORA,2590,2730,16
RETIFICADORA,2760,2880,17
RETIFICADORA,2895,3060,18
RETIFICADORA,3070,3210,19
RETIFICADORA,3240,3360,20
RETIFICADORA,3375,3540,21
RETIFICADORA,3550,3690,1
RETIFICADORA,3720,3840,2
RETIFICADORA,3855,4020,3
RETIFICADORA,4030,4170,4
RETIFICADORA,4200,4320,5
RETIFICADORA,4335,4500,6
RETIFICADORA,4510,4650,7
RETIFICADORA,4680,4800,8
RETIFICADORA,4815,4980,9
RETIFICADORA,4990,5130,10
RETIFICADORA,5160,5280,11
RETIFICADORA,5295,5460,12
RETIFICADORA,5470,5610,13
RETIFICADORA,5640,5760,14
RETIFICADORA,5775,5940,15
RETIFICADORA,5950,6090,16
RETIFICADORA,6120,6240,17
RETIFICADORA,6255,6420,18
RETIFICADORA,6430,6570,19
RETIFICADORA,6600,6720,20
RETIFICADORA,6735,6900,21
RETIFICADORA,6910,7050,1
RETIFICADORA,7080,7200,2
RETIFICADORA,7215,7380,3
RETIFICADORA,7390,7530,4
RETIFICADORA,7560,7680,5
RETIFICADORA,7695,7860,6
RETIFICADORA,7870,8010,7
RETIFICADORA,8040,8160,8
RETIFICADORA,8175,8340,9
RETIFICADORA,8350,8490,10
RETIFICADORA,8520,8640,11
RETIFICADORA,8655,8820,12
RETIFICADORA,8830,8970,13
RETIFICADORA,9000,9120,14
RETIFICADORA,9135,9300,15
RETIFICADORA,9310,9450,16
RETIFICADORA,9480,9600,17
RETIFICADORA,9615,9780,18
RETIFICADORA,9790,9930,19
RETIFICADORA,9960,10080,20
LAM1,15,180,1
LAM1,190,330,1
LAM1,360,480,2
LAM1,495,660,3
LAM1,670,810,4
LAM1,840,960,5
LAM1,975,1140,6
LAM1,1150,1290,7
LAM1,1320,1440,8
LAM1,1455,1620,9
LAM1,1630,1770,10
LAM1,1800,1920,11
LAM1,1935,2100,12
LAM1,2110,2250,13
LAM1,2280,2400,14
LAM1,2415,2580,15
LAM1,2590,2730,16
LAM1,2760,2880,17
LAM1,2895,3060,18
LAM1,3070,3210,19
LAM1,3240,3360,20
LAM1,3375,3540,21
LAM1,3550,3690,1
LAM1,3720,3840,2
LAM1,3855,4020,3
LAM1,4030,4170,4
LAM1,4200,4320,5
LAM1,4335,4500,6
LAM1,4510,4650,7
LAM1,4680,4800,8
LAM1,4815,4980,9
LAM1,4990,5130,10
LAM1,5160,5280,11
LAM1,5295,5460,12
LAM1,5470,5610,13
LAM1,5640,5760,14
LAM1,5775,5940,15
LAM1,5950,6090,16
LAM1,6120,6240,17
LAM1,6255,6420,18
LAM1,6430,6570,19
LAM1,6600,6720,20
LAM1,6735,6900,21
LAM1,6910,7050,1
LAM1,7080,7200,2
LAM1,7215,7380,3
LAM1,7390,7530,4
LAM1,7560,7680,5
LAM1,7695,7860,6
LAM1,7870,8010,7
LAM1,8040,8160,8
LAM1,8175,8340,9
LAM1,8350,8490,10
LAM1,8520,8640,11
LAM1,8655,8820,12
LAM1,8830,8970,13
LAM1,9000,9120,14
LAM1,9135,9300,15
LAM1,9310,9450,16
LAM1,9480,9600,17
LAM1,9615,9780,18
LAM1,9790,9930,19
LAM1,9960,10080,20
LAM2,15,180,1
LAM2,190,330,1
LAM2,360,480,2
LAM2,495,660,3
LAM2,670,810,4
LAM2,840,960,5
LAM2,975,1140,6
LAM2,1150,1290,7
LAM2,1320,1440,8
LAM2,1455,1620,9
LAM2,1630,1770,10
LAM2,1800,1920,11
LAM2,1935,2100,12
LAM2,2110,2250,13
LAM2,2280,2400,14
LAM2,2415,2580,15
LAM2,2590,2730,16
LAM2,2760,2880,17
LAM2,2895,3060,18
LAM2,3070,3210,19
LAM2,3240,3360,20
LAM2,3375,3540,21
LAM2,3550,3690,1
LAM2,3720,3840,2
LAM2,3855,4020,3
LAM2,4030,4170,4
LAM2,4200,4320,5
LAM2,4335,4500,6
LAM2,4510,4650,7
LAM2,4680,4800,8
LAM2,4815,4980,9
LAM2,4990,5130,10
LAM2,5160,5280,11
LAM2,5295,5460,12
LAM2,5470,5610,13
LAM2,5640,5760,14
LAM2,5775,5940,15
LAM2,5950,6090,16
LAM2,6120,6240,17
LAM2,6255,6420,18
LAM2,6430,6570,19
LAM2,6600,6720,20
LAM2,6735,6900,21
LAM2,6910,7050,1
LAM2,7080,7200,2
LAM2,7215,7380,3
LAM2,7390,7530,4
LAM2,7560,7680,5
LAM2,7695,7860,6
LAM2,7870,8010,7
LAM2,8040,8160,8
LAM2,8175,8340,9
LAM2,8350,8490,10
LAM2,8520,8640,11
LAM2,8655,8820,12
LAM2,8830,8970,13
LAM2,9000,9120,14
LAM2,9135,9300,15
LAM2,9310,9450,16
LAM2,9480,9600,17
LAM2,9615,9780,18
LAM2,9790,9930,19
LAM2,9960,10080,20
LAM3,15,180,1
LAM3,190,330,1
LAM3,360,480,2
LAM3,495,660,3
LAM3,670,810,4
LAM3,840,960,5
LAM3,975,1140,6
LAM3,1150,1290,7
LAM3,1320,1440,8
LAM3,1455,1620,9
LAM3,1630,1770,10
LAM3,1800,1920,11
LAM3,1935,2100,12
LAM3,2110,2250,13
LAM3,2280,2400,14
LAM3,2415,2580,15
LAM3,2590,2730,16
LAM3,2760,2880,17
LAM3,2895,3060,18
LAM3,3070,3210,19
LAM3,3240,3360,20
LAM3,3375,3540,21
LAM3,3550,3690,1
LAM3,3720,3840,2
LAM3,3855,4020,3
LAM3,4030,4170,4
LAM3,4200,4320,5
LAM3,4335,4500,6
